surface,embedding
same,-0.486371 0.201680 -0.271710 0.196955 -0.323500 0.070069 0.587734 0.344446 -1.009159 0.248227 -0.385829 1.593979 0.439766 -0.580962 -0.145538 -0.101566
world,-0.089148 -0.281987 0.041361 0.368827 -0.641636 -0.178983 0.176744 0.289665 -0.445185 -0.050587 0.127748 -0.316818 -0.335533 -0.680040 -0.766451 0.212681
right,-0.508093 -0.076334 0.450206 0.442868 0.039222 -0.286481 0.260275 0.102646 -0.696279 0.250437 -0.014367 0.511213 -0.632374 -0.172645 -0.238177 -0.005019
got,1.712812 0.309381 1.146123 0.310077 -0.354611 -0.680776 0.157138 0.540632 0.144297 -0.009630 -0.304508 -0.869402 0.066823 0.351279 2.065745 -0.538668
say,1.569051 -0.408603 0.456434 0.348759 0.017687 -0.130098 0.952031 0.638214 0.648335 0.434906 -0.208262 -0.611952 -0.255184 0.366791 1.192286 -0.325685
another,-1.029514 0.030349 -0.492319 -0.560878 0.087829 0.043154 -0.482362 -0.287656 0.244450 0.072874 0.229006 1.714175 0.786725 0.671226 -0.232366 -0.001279
give,1.209072 -0.094114 0.467785 0.390435 -0.846266 0.388274 0.080474 1.050834 -0.132485 0.282402 -0.875788 -1.181333 0.127743 0.893565 3.058531 -0.184411
off,-1.100393 -0.456119 0.431448 0.016739 -0.123256 -0.349452 -0.127443 -0.572203 -0.190346 0.018365 0.840491 0.690306 -0.142736 0.578558 0.165386 -0.298331
last,-0.721847 0.580533 -0.270884 0.055666 -0.093874 0.004037 0.367768 0.272630 -1.138170 0.216270 -0.144907 1.954766 0.025841 0.220712 0.088939 -0.426335
3,-0.348553 0.106064 -0.298146 -0.032242 -0.407063 -0.388476 0.572102 0.476415 -0.483053 0.036939 -0.609620 1.009232 0.577043 -1.125022 -0.375358 0.428313
since,-0.826251 -0.646517 -0.361914 -0.484724 -0.044008 1.260250 -0.655008 -0.687525 0.706062 0.386368 1.082802 0.238473 0.025627 1.118092 0.943884 0.596845
've,1.644709 1.131597 0.672564 0.335622 -0.281632 0.667299 0.904450 0.110648 0.159587 -0.225016 -0.361600 -0.976536 -0.914242 0.762441 -0.567317 0.077066
those,-0.822939 -0.265491 -0.110306 -0.280561 0.168773 0.854155 -0.345602 -0.172127 0.859597 0.111986 0.097062 1.319297 1.275248 0.113946 -0.109721 0.371654
too,-1.397376 0.542934 1.034820 -0.921545 1.037578 -0.040291 0.220563 0.907532 -1.079158 -0.343003 0.214544 1.975288 -1.367429 1.331257 -0.534154 -0.655886
find,1.288898 0.386420 0.809047 0.091863 0.160646 -0.577264 0.430671 0.572042 -0.181589 0.247417 -0.364084 -0.313023 0.544780 -0.289329 2.276431 -0.369903
around,-0.688216 -0.273808 0.470096 -0.063966 -0.155866 -0.432472 -0.326314 -0.291102 -0.613972 0.052079 1.331518 0.573462 -0.338190 1.099446 0.496650 -0.295066
put,1.159723 -0.051126 0.505835 0.528756 -0.381932 -0.369780 0.730402 0.234579 -0.187140 0.289538 0.447817 -0.229797 -0.028042 0.363627 2.296802 -0.110695
where,-0.642790 -0.201380 0.201077 0.079563 -0.007002 1.314750 0.167444 0.483020 -0.732901 -0.037315 0.473111 0.658122 -1.049547 0.689262 1.005848 -0.264657
again,-1.611003 -0.191495 0.850146 -0.556792 0.456075 -0.127787 0.177480 0.768925 -0.453751 -0.413376 0.076780 1.348088 -1.171721 1.068758 -0.801280 -0.408487
sure,-0.662446 -0.797741 0.634509 0.152534 -0.200005 0.954581 0.466953 0.450924 -0.554143 0.244932 -0.207073 0.673003 -0.366115 -0.275521 1.037049 -0.152227
iraq,-0.731615 -0.454362 0.089379 -0.064281 -1.024355 -0.287419 0.413539 0.153339 0.202147 -0.210426 0.438687 -0.104195 0.375908 -0.078963 -0.994860 0.157986
1,-0.451856 0.399403 -0.157957 -0.391443 -0.578933 -0.485095 0.207148 0.612217 -0.242741 -0.213615 -0.597326 0.245435 0.140658 -1.094885 -0.399947 0.408078
down,-1.265211 -0.612760 0.781024 -0.164804 -0.057044 -0.170534 -0.144741 -0.271848 -0.236811 0.111492 0.691194 0.919639 -0.348915 0.720801 -0.019540 -0.416161
little,0.324929 0.448418 -0.533066 -0.005306 -0.085822 -0.036047 0.261017 0.391043 -0.665897 0.223829 -0.337624 0.136511 0.310877 -1.211979 0.303870 0.073831
long,-0.837512 0.115696 0.334014 0.151097 -0.032927 0.275554 0.400500 0.299127 -0.860841 -0.045740 0.027712 1.242373 -0.423135 0.462164 -0.250270 -0.403063
better,-1.021380 0.017622 0.476130 0.160155 0.071193 0.062153 0.508895 0.302705 -0.660957 -0.033466 -0.322141 1.395619 -0.493495 0.128300 -0.218368 -0.486847
al,-0.099047 0.115431 -0.199380 0.267489 -0.790887 -0.978644 -0.193857 -0.266574 -0.424607 -0.196925 -0.679108 -0.731502 -0.271403 -0.139399 -1.431484 0.261496
price,-0.552555 -0.325823 0.042970 0.528652 -0.389619 -0.081797 0.396921 0.023557 -0.269116 -0.472902 0.137901 0.264305 -0.513917 -0.160697 -0.958049 -0.347625
&,0.403187 1.125640 -0.322923 -0.396127 0.548529 0.334369 -1.008432 1.260787 -0.694326 0.078078 -1.169519 0.112834 0.861587 -1.601597 0.832426 0.669154
told,0.986836 -0.437498 0.514844 0.289171 -0.803815 0.478200 0.195673 0.496791 -0.107689 0.323705 -0.385456 -0.842790 -0.281233 0.452969 2.073852 -0.171595
both,-0.713042 0.754658 0.360919 -0.359305 0.662210 0.524240 -0.340239 0.991347 -0.951930 -0.431604 -0.472056 1.460581 0.422652 -0.496257 0.464201 0.328884
through,-0.597568 -0.164249 0.278719 -0.159206 -0.348965 -0.408244 -0.344992 -0.437149 -0.607112 0.042886 1.635686 0.450694 -0.157869 1.213461 1.049084 -0.142728
next,-0.866355 0.353075 -0.191207 0.167011 -0.166375 0.100588 0.139159 0.080660 -0.821744 0.203788 0.035057 1.802785 -0.082970 0.497659 -0.274848 -0.601700
called,1.747080 0.430177 0.484785 0.175162 0.028367 -0.820544 0.663074 0.608372 0.523202 0.241456 -0.353183 -0.231634 0.110208 -0.183061 1.552256 -0.440661
few,0.920988 0.193214 -0.609764 0.219973 0.099656 -0.351298 0.657900 0.284533 -0.403273 0.575700 -0.348583 0.762458 0.648022 -1.416366 0.104919 -0.006380
while,-0.422358 -0.389312 -0.472596 -0.243548 0.045930 1.209472 -0.459332 -0.354705 0.702371 0.330029 1.032379 -0.227785 -0.140072 0.874924 0.596863 0.815906
days,-0.521726 -0.508892 0.468485 0.289847 -0.453069 -0.395876 0.465058 0.012153 -0.453790 -0.062601 0.354950 -0.066990 -0.330542 -0.224686 -0.404608 -0.071687
look,0.905868 -0.308148 0.293089 1.248955 0.361918 -0.318465 0.537845 0.319440 0.187447 0.108820 -0.142583 -0.229962 -0.041120 -0.443856 0.926121 0.116913
enron,-0.432052 -0.252885 -0.445354 0.059202 -0.726889 -0.056555 0.175237 -0.449945 0.119693 0.049839 0.039696 0.284276 0.266875 -0.238358 -0.577398 0.069084
come,1.483497 -0.496326 0.845113 1.038518 0.118290 -0.523638 0.468741 0.365204 0.324459 0.364892 -0.602410 -0.771881 0.010936 0.190775 0.744637 -0.398259
home,-0.862392 -0.312725 0.281076 0.147291 -0.177160 -0.220096 0.352651 0.319006 -0.557782 -0.213399 0.114018 0.619914 -0.576776 0.426087 -0.764913 -0.350496
4,-0.143498 0.039672 -0.348691 -0.121654 -0.366788 -0.540686 0.562329 0.275239 -0.076114 0.122782 -0.593630 0.809790 0.547348 -1.113006 -0.370426 0.379106
feel,0.998320 0.119724 0.473471 0.045236 -0.341987 -0.170788 0.036214 0.478873 -0.429948 -0.043184 -0.245811 -0.743996 0.003573 0.053325 1.576770 -0.314142
used,1.482512 -0.633484 0.890523 0.857263 0.147379 -0.352607 0.317266 0.526972 0.660324 0.173791 -0.545270 -0.558890 -0.108516 -0.404716 1.237017 -0.513186
always,-0.578048 1.009774 0.282842 -0.346985 0.441005 1.138417 0.504501 0.457006 -0.841944 -0.545908 -0.015310 1.031237 -1.443604 0.902056 -0.648269 -0.446970
;,-1.450377 0.892758 0.627612 -0.769828 0.101961 0.577850 -1.237440 0.949944 -1.359471 -0.867117 -0.992496 -0.544697 -0.259137 0.097236 1.078727 -0.637423
're,1.423075 0.904777 0.477242 0.430268 -0.746561 -0.033179 0.652889 0.131939 -0.332344 -0.055790 0.417711 -1.033347 -0.376341 1.399262 -0.155708 -0.120062
business,-0.202468 -0.517710 -0.035034 0.278655 -0.552059 -0.138822 0.384131 0.073417 -0.389756 -0.031344 0.112443 0.049519 -0.221165 -0.447628 -0.591133 0.029069
car,0.069119 -0.432345 -0.133696 0.413212 -0.450521 -0.015012 0.506998 0.005458 -0.414198 0.025067 0.395927 -0.439715 -0.464063 -0.660952 -0.445816 -0.018550
5,-0.319679 0.333508 -0.425622 0.032452 -0.318226 -0.541788 0.548251 0.413798 -0.183586 0.098433 -0.491052 0.904327 0.776131 -1.083785 -0.379051 0.547344
such,-0.971228 -0.270086 1.086197 -0.081843 0.104924 -0.096434 0.305206 -0.496947 -0.772293 0.226492 0.319389 1.404570 0.399742 0.099301 0.557350 -0.379911
name,-0.775819 -0.562166 0.445786 0.562350 -0.267043 -0.070216 0.550567 -0.058740 -0.271796 -0.302134 0.236181 0.229204 -0.429470 -0.283729 -0.424431 -0.361359
change,0.140824 -0.392232 0.206263 0.312631 -0.389136 -0.307595 0.489263 0.199474 -0.381329 0.097890 0.471597 -0.191690 -0.281161 -0.579185 0.679486 0.057331
family,0.050649 -0.385820 -0.145845 -0.025615 -0.693370 0.032984 0.420481 0.138499 -0.205311 -0.024399 0.305599 -0.319996 -0.456548 -0.580134 -0.753032 -0.019893
own,0.685634 0.182986 -0.669615 -0.093265 -0.037552 -0.325173 0.319047 0.396013 -0.451532 0.238069 0.002667 -0.151362 0.149929 -1.051845 0.139862 -0.108806
every,-0.905004 0.473819 -0.561715 -0.043042 0.096677 0.037747 -0.225598 -0.277209 -0.122352 0.436095 0.006029 1.753147 0.691485 0.413668 -0.059013 -0.019497
lot,-0.274444 -0.505875 -0.008899 1.127829 0.231905 -0.290697 0.520326 -0.065193 0.372083 -0.189795 0.088084 0.108141 0.252653 -1.232268 -0.301223 -0.004398
money,-0.199240 -0.682352 0.170998 0.081601 -0.158337 0.306235 0.465282 0.331243 0.134417 0.063876 0.161392 -0.121637 -0.095074 -0.697184 -0.279655 0.270060
took,1.687810 0.574849 0.839662 0.169408 -0.078112 -0.881530 -0.032466 0.791071 0.003402 -0.086049 -0.722211 -0.848477 0.555824 0.150272 2.851993 -0.601031
ca,-0.191542 3.250323 0.605217 1.324711 -0.919448 -0.878044 0.799613 -0.522343 0.627153 2.171897 0.095928 -0.512867 -1.027661 -0.227080 -1.729908 0.379708
however,-0.897885 0.098525 0.931832 -0.943465 0.434496 -0.636397 -0.066462 1.137844 -0.573595 -0.685750 0.084380 1.176295 -1.817400 0.722598 -1.005772 0.180774
week,-0.515335 -0.668992 0.348950 -0.148076 0.103674 -0.309540 0.588963 0.624392 0.151418 0.179599 0.006776 0.409019 0.313977 -1.008360 -0.268691 0.571509
between,-0.406510 -0.281729 0.131669 0.014644 -0.678738 -0.396360 -0.508042 -0.514595 -0.504412 0.080070 1.483505 0.137839 0.035105 1.391449 0.375417 -0.099078
experience,-0.707477 -0.303649 0.277368 0.460112 -0.320429 -0.023110 0.519858 0.236609 -0.343406 -0.164414 0.157198 0.231371 -0.562132 -0.283233 -0.287139 -0.163876
done,0.734252 -0.218047 0.722223 0.351776 0.168041 -0.624506 0.410340 0.465650 0.151974 0.388292 -0.407345 -0.469718 -0.240255 -0.548860 0.799235 -0.167385
keep,1.463933 0.125149 0.521029 0.247725 -0.303201 -0.238323 0.470671 0.739221 0.060438 0.171267 -0.074644 -0.577346 0.309887 0.328200 2.304039 -0.533213
states,-0.433956 -0.630114 -0.011200 0.314981 -0.644919 -0.243067 0.471231 -0.128149 -0.012663 -0.229167 0.419804 -0.343859 -0.152596 -0.153659 -0.562401 0.073657
love,0.802501 -0.089960 -0.090477 0.150107 -0.574428 0.029403 0.395378 0.449642 -0.063956 0.085267 0.130235 -0.011659 -0.238227 -0.325012 1.368383 -0.076340
ever,-0.707095 0.096812 0.423869 -0.598750 0.149211 1.389807 0.460410 0.531878 -0.487823 -0.421722 0.071378 0.368561 -1.100174 0.903440 -1.063368 -0.283289
something,-0.401891 -0.500704 0.133136 0.039881 0.819926 0.379345 0.045531 -0.137863 0.936710 0.403497 0.109872 0.487746 0.909403 -0.422171 0.462505 0.626240
try,1.710026 -0.578293 0.638544 0.447065 -0.062574 -0.050298 0.545988 0.630343 0.680935 0.351521 -0.314056 -0.495608 -0.202125 -0.077813 1.093886 -0.573407
company,-0.545075 -0.353606 0.209326 0.326993 -0.443018 0.257375 0.419219 0.218308 -0.277004 -0.329829 0.094128 -0.122612 -0.598572 -0.301424 -0.737433 -0.197807
united,-0.656633 0.102740 -1.138383 1.404885 0.123386 0.367946 0.453031 0.402188 -1.577468 -0.209579 -0.346493 1.557941 -0.227788 0.757930 0.421724 0.429886
already,-0.687150 1.185478 0.035755 -0.108954 0.340259 1.210279 0.580671 0.336463 -0.719026 -0.511316 -0.034510 0.847157 -1.420545 0.946241 -0.671957 -0.408531
anyone,-0.097819 -0.063124 -0.372608 -0.589222 0.265327 1.265833 0.200120 0.231923 1.441584 0.132744 0.422997 -0.171960 0.621068 0.085024 -0.192604 0.475536
office,-0.808746 -0.679157 0.433467 -0.070486 -0.655517 0.003130 0.576304 0.260347 -0.138903 -0.115508 0.078189 0.364445 -0.061011 -0.265307 -0.566656 -0.090783
night,-0.771906 -0.521513 0.412733 -0.027682 -0.642348 -0.214779 0.511333 0.435674 -0.240194 -0.125022 0.451415 0.139827 -0.212181 0.031763 -0.652460 -0.199181
10,-0.095770 0.360356 -0.471491 0.059419 -0.369739 -0.321194 0.298181 0.514255 -0.134593 0.185353 -0.158519 0.777763 0.771815 -1.155435 -0.292452 0.287121
things,-0.142961 -0.562966 0.033698 0.741124 -0.344956 0.270749 0.690550 -0.136820 -0.096859 0.087449 0.088228 -0.385772 -0.284962 -0.438713 -0.042655 -0.012781
doing,1.484463 -0.179301 0.405614 0.251961 -0.098584 -0.609518 0.621206 0.564347 0.214387 0.311207 -0.035697 -0.357213 -0.031971 0.171234 1.361697 -0.354035
m,-0.050725 -0.353723 -0.130802 0.023550 -0.727790 -0.927025 0.413969 -0.382287 -0.148770 -0.294209 -0.105052 -0.162594 -0.495809 -0.298863 -0.878746 0.189607
looking,1.094652 -0.546259 0.684379 1.985932 0.141392 -0.463756 0.139045 0.083148 0.072901 -0.246038 -0.470758 -0.737454 -0.304618 0.082684 0.987828 -0.229847
job,-0.120353 -0.656650 0.031001 0.145790 0.030069 -0.183460 0.535171 0.124809 0.262479 0.235296 0.131888 -0.185321 0.009691 -0.717134 -0.241393 0.261372
thing,0.324950 -0.835903 0.378160 0.231995 0.218235 0.398617 0.537481 0.360902 0.511382 0.279877 -0.130743 -0.140384 -0.066726 -1.080967 0.124874 0.505205
staff,0.024656 -0.198131 0.096226 0.349156 -0.540265 0.363454 0.546355 0.188684 0.098233 -0.236445 0.178495 -0.269557 -0.483570 -0.801615 -0.685961 -0.018939
under,-0.396446 0.171964 0.327501 -0.332810 -0.244012 -0.651846 -0.360269 -0.990332 -0.391729 0.285365 1.727336 0.304773 0.062838 0.752374 1.033727 0.158546
end,0.130133 -0.558168 -0.072104 1.187194 -0.350717 -0.471601 0.387891 -0.162504 -0.231012 -0.241584 0.205546 -0.280884 -0.107591 -0.483236 -0.397638 0.042019
recommend,1.012867 0.170405 0.408115 0.029575 -0.482764 0.399924 0.060174 0.770350 -0.192633 -0.008135 -0.888526 -0.740600 -0.118190 0.011556 1.957413 -0.120995
iran,-0.591440 0.108107 -0.120949 0.004709 -0.563477 -0.061848 0.200044 -0.134925 0.821044 -0.035115 0.277408 0.010779 0.180863 -0.265798 -0.963097 0.306692
went,1.032330 -0.225939 0.980498 1.216595 -0.219883 -0.299505 -0.111847 0.195056 -0.022723 0.203839 -0.576775 -0.922826 -0.195131 -0.079243 0.766159 -0.199700
each,-1.020971 0.407024 -0.357692 -0.001082 0.025753 -0.151104 -0.321528 -0.671361 0.461527 0.129713 0.559719 1.224843 0.935788 0.541600 -0.198826 0.181262
came,1.444281 -0.069288 0.791410 1.616792 -0.002293 -0.555898 0.277477 0.125929 0.230546 0.243218 -0.692427 -0.858090 -0.065695 0.180443 1.057266 -0.208030
room,0.031778 -0.417536 0.046021 0.364618 -0.141230 -0.011005 0.383322 0.455553 -0.098883 0.006203 0.170979 -0.158924 -0.156208 -1.059531 -0.176626 0.403137
might,1.916691 2.001862 0.193102 0.882772 -0.394678 0.691829 1.018307 0.380829 0.550292 0.193521 -0.229279 -1.128157 -0.799957 1.180972 -0.481207 -0.084509
life,-0.651581 -0.556197 0.295944 0.201380 -0.514638 -0.106288 0.556969 0.333590 -0.252973 -0.262714 0.150706 0.014307 -0.219238 -0.497724 -0.580080 -0.036668
attached,0.868593 0.313724 0.169725 0.546435 -0.084885 -0.093304 -0.228892 0.108632 -0.056733 -0.375269 -0.846793 -0.803354 -0.207142 -0.629259 0.139041 -0.117089
old,-0.612167 0.151580 -0.136787 -0.461729 -0.234221 0.059757 0.558893 0.476672 -0.774058 -0.089584 -0.350868 1.400102 -0.011246 -0.310769 -0.386027 -0.396387
china,-0.340024 0.706247 -0.083103 0.397946 -0.953426 0.340797 0.058991 0.022929 0.026727 -0.255063 -0.318482 -0.522012 -0.282272 -0.617080 -0.942722 -0.132288
group,-0.330031 -0.633504 0.074959 0.386730 -0.714640 -0.249448 0.491243 -0.078895 -0.138752 -0.206313 0.284326 -0.373434 -0.298995 -0.504432 -0.716741 -0.070048
away,-1.811896 -0.293474 0.627395 0.504648 0.268900 -0.126803 0.073790 -0.122545 -0.186744 -0.076277 0.303751 1.187006 -0.537282 0.947943 -0.126079 -0.391492
anything,-0.593990 -0.233927 -0.462362 -0.375990 0.560574 0.262259 0.147380 0.149922 0.995957 0.072310 0.412524 0.542634 0.801424 -0.258715 0.912996 0.529334
nice,-0.515222 -0.216745 0.144095 -0.456886 -0.398362 0.118743 0.534636 0.695315 -0.494636 -0.097705 -0.263030 1.180137 -0.242890 -0.422625 -0.300988 -0.189040
order,0.405810 -0.593278 0.259600 0.394783 -0.276766 -0.295515 0.605866 0.129815 0.096341 0.070548 0.395113 -0.497615 -0.131012 -0.249903 0.085638 -0.250158
against,-0.711992 -0.194424 0.217828 -0.075487 -0.553895 -0.400774 -0.446997 -0.658808 -0.465607 0.116960 1.599300 0.268869 0.113596 1.355356 0.660762 -0.010698
found,1.304676 0.103283 0.861363 0.296841 -0.046174 -0.544884 0.251897 0.381116 -0.134718 0.195887 -0.364238 -0.415980 0.101954 -0.141627 2.012060 -0.163226
getting,1.995591 0.162413 0.883346 0.341290 -0.071090 -0.695288 0.790266 0.261858 0.314698 0.272748 0.252650 -0.449465 -0.014038 0.538835 1.529855 -0.512242
nt,-0.656029 1.740743 0.261590 -0.448303 0.537925 1.325581 0.006445 0.541381 -1.056259 -0.386838 -0.640295 0.188177 -1.585783 1.212785 -0.726197 -0.502253
problem,-0.050366 -0.413118 0.034651 0.688798 -0.404307 -0.105393 0.398659 0.003347 -0.105556 -0.135778 0.146390 -0.648371 -0.734657 -0.673328 -0.487358 0.008539
power,-0.401787 -0.633689 0.121453 0.380817 -0.320608 -0.130411 0.458128 0.071451 -0.283828 0.022763 -0.001325 0.220931 0.109432 -0.533686 -0.401904 0.041174
questions,-0.493481 -0.990118 0.480994 -0.187611 -0.549867 0.026918 0.618429 0.408364 -0.244161 0.204609 0.118327 -0.058901 -0.344498 -0.730375 -0.321982 -0.117205
once,-0.851740 -0.093541 0.619247 -0.031607 0.209917 1.156794 -0.168090 0.129491 -0.526749 0.148080 0.700957 0.860145 -0.952933 1.102314 0.466695 0.050543
water,-0.351918 -0.490653 0.009287 -0.061255 -0.425123 -0.114655 0.289964 0.185614 -0.337490 0.087761 0.167037 0.281792 -0.166758 -0.308923 -0.495181 -0.004969
point,-0.830628 -0.785709 0.270530 0.461867 -0.580208 -0.018044 0.599502 0.286052 -0.141853 -0.332652 -0.000348 0.326047 -0.150874 -0.393248 -0.395914 -0.093717
hope,0.246125 -0.869444 0.863219 0.438264 -0.812546 1.066601 0.013641 0.225341 -0.228933 0.168204 -0.076715 -0.252024 -0.806681 -0.111891 1.259839 0.056176
thank,0.987297 -0.961654 0.099258 0.853352 -1.024138 1.362987 0.160248 0.898699 0.492810 0.386641 -1.175250 -0.761127 -0.453612 0.279893 2.392346 0.330640
though,-0.998256 -0.020713 0.488085 -0.462943 -0.140526 0.911481 -0.288609 0.957842 -0.736348 -0.414203 -0.239588 0.052920 -1.026725 0.560572 0.431729 -0.313756
military,0.456932 -0.524429 -0.512466 0.149600 -0.355654 -0.134745 0.497713 0.197830 -0.068298 0.127441 -0.261912 0.100985 0.126324 -0.814412 -0.298173 -0.094956
american,0.648899 -0.139777 -0.643112 -0.081059 -0.314425 -0.230739 0.314297 0.412277 -0.338058 0.055434 -0.411678 0.438073 0.405435 -1.063105 0.042969 0.163072
during,-0.831576 -0.095161 0.660646 -0.441721 -0.322581 -0.521217 -0.397988 -0.784848 -0.593021 0.142402 2.005389 0.623391 0.171625 1.153448 1.460285 -0.028688
state,0.243478 -0.616236 -0.114016 0.625293 -0.628556 -0.148826 0.245139 -0.122059 -0.298465 -0.194364 0.206894 -0.368211 -0.270794 -0.395564 -0.478711 -0.053662
meeting,0.209445 -0.534648 0.078055 1.093973 -0.352505 -0.012712 0.516177 -0.061981 -0.021252 -0.054405 0.300222 -0.477787 -0.404522 -0.423848 0.060233 -0.076207
able,-0.715812 -1.766313 1.475650 0.905323 -0.265618 1.022262 -0.187850 -0.045958 0.370355 0.117780 -0.311077 0.809163 -0.770890 -0.451736 -0.127644 -1.016138
phone,-0.694217 0.081447 -0.249121 0.024247 -0.615654 -0.298045 0.586262 0.358982 -0.340190 0.009200 -0.142020 0.344296 -0.218221 -0.495177 -0.585963 -0.059383
amount,-0.464720 -0.383218 0.109193 0.772916 -0.324563 -0.092987 0.484529 -0.310335 -0.363494 -0.593906 0.061973 0.405242 -0.172396 -0.563339 -0.117480 -0.270312
bad,0.631392 -0.106238 -0.622012 0.228512 -0.217910 -0.435975 0.520348 0.290188 0.083927 0.379744 -0.319041 0.255821 0.051944 -0.889225 0.062917 -0.027845
times,-0.713590 -0.417531 0.425155 0.101044 -0.581425 -0.312891 0.426428 -0.066884 -0.237930 -0.023037 0.423060 0.149621 -0.309915 0.021735 -0.364165 -0.163623
president,-0.355822 0.400283 -0.213337 0.614703 -0.540939 0.029743 0.290136 -0.067328 -0.450843 -0.253374 -0.290760 -0.007434 0.010269 -0.628959 -0.651134 -0.131572
nothing,-0.252559 -0.365658 -0.144130 -0.192641 0.556928 0.214419 0.242132 -0.021492 1.200469 0.012973 0.066490 0.361774 0.703829 -0.662324 0.306716 0.300887
!!,-0.947301 1.466190 0.227112 -1.300433 -0.552669 -1.096060 -1.117668 0.976303 -0.302366 -0.914729 -0.900993 -2.111806 -0.411225 -0.825254 -0.380970 -0.226319
far,-0.992451 0.391426 1.247383 0.418250 0.345282 -0.280883 0.358605 0.053732 -1.134073 0.238313 0.062574 1.058951 -0.331865 0.340599 0.363239 -0.218264
email,-0.389475 -0.341262 -0.013167 -0.209089 -0.559256 -0.380050 0.487384 0.305273 -0.132889 -0.081001 0.062546 0.379277 -0.134083 -0.668270 -0.483661 0.074621
having,1.651565 0.189544 0.508279 0.262217 -0.113898 -0.602385 0.651154 0.192468 0.104874 0.196368 0.266278 -0.215449 -0.041817 0.090637 1.306770 -0.423798
